step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5
58000	-40.725486415124976	-42.530189391014687	1.804702975889714	0.358372694304580	0.358372694304580	1.000000000000000	0.946182098586960	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
58500	-40.946236405367713	-42.441274214915524	1.495037809547811	0.438164790324305	0.438164790324305	1.000000000000000	0.914180287451425	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
59000	-40.067694749517024	-42.310701832029103	2.243007082512078	0.361148134440092	0.361148134440092	1.000000000000000	0.993402083526013	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
59500	-41.101011074021329	-43.384810898099104	2.283799824077773	0.492584200219772	0.492584200219772	1.000000000000000	0.997914924694090	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
60000	-40.719791071420829	-43.021514833635699	2.301723762214868	0.375301241885577	0.375301241885577	1.000000000000000	0.999904301159518	0.000000000000000	-2	3	6	9	13	0	1	2	2	4	1	1	1	1	1
60500	-43.949830082557391	-45.190687331255511	1.240857248698122	0.371669819873627	0.371669819873627	1.000000000000000	0.888722926765381	0.000000000000000	-2	3	6	9	13	0	1	1	2	4	1	1	1	1	1
61000	-42.185458498000386	-44.439058705038626	2.253600207038240	0.291195725536043	0.291195725536043	1.000000000000000	0.994572019903860	0.000000000000000	-1	3	5	9	13	0	1	1	2	4	1	1	1	1	1
61500	-41.485763091494221	-43.511533809456076	2.025770717961854	0.493387466960543	0.493387466960543	1.000000000000000	0.969711036112107	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
62000	-44.316577907883591	-45.281124780689723	0.964546872806131	0.502817251546474	0.502817251546474	1.000000000000000	0.861852692447328	0.000000000000000	-2	3	6	9	13	0	1	1	3	4	1	1	1	1	1
62500	-41.526521551849996	-43.153689177652176	1.627167625802180	0.331710790013654	0.331710790013654	1.000000000000000	0.927700453719044	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
63000	-44.753847193157362	-46.385683045582923	1.631835852425561	0.539968317492816	0.539968317492816	1.000000000000000	0.928181769197301	0.000000000000000	-3	3	6	9	13	0	1	2	2	3	1	1	1	1	1
63500	-43.564696481055904	-44.942899484451246	1.378203003395338	0.281284339535425	0.281284339535425	1.000000000000000	0.902389421381857	0.000000000000000	-3	3	6	9	13	0	1	2	2	4	1	1	1	1	1
64000	-46.903099023784137	-47.377142725511511	0.474043701727374	0.406436077814277	0.406436077814277	1.000000000000000	0.816138452935049	0.000000000000000	-5	3	6	9	13	0	1	2	3	3	1	1	1	1	2
64500	-42.644178809757491	-44.415178137468850	1.770999327711359	0.436604317066066	0.436604317066066	1.000000000000000	0.942645415054058	0.000000000000000	-2	3	6	9	13	0	1	1	3	4	1	1	1	1	1
65000	-41.689929869925301	-43.321312346004163	1.631382476078864	0.424193110333061	0.424193110333061	1.000000000000000	0.928135013079475	0.000000000000000	-3	3	6	9	13	0	1	2	3	4	1	1	1	1	1
65500	-47.551822534879520	-48.916870961023285	1.365048426143764	0.428906890660034	0.428906890660034	1.000000000000000	0.901071434663659	0.000000000000000	-2	3	6	9	13	0	1	1	3	4	1	2	1	1	2
66000	-43.275754189279972	-43.695958188771655	0.420203999491683	0.516245755021554	0.516245755021554	1.000000000000000	0.811270732675581	0.000000000000000	-1	2	6	9	13	0	1	2	3	4	1	1	1	1	1
66500	-44.547761707606298	-44.605412780000087	0.057651072393788	0.413601943681763	0.413601943681763	1.000000000000000	0.779239282997532	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	2
67000	-45.273460869030863	-47.237589132523574	1.964128263492713	0.402839317687263	0.402839317687263	1.000000000000000	0.963092021737958	0.000000000000000	-6	3	6	9	13	0	1	2	2	3	1	1	1	1	1
